Team,Home,Road,Total
Milwaukee Bucks,30,26,56
Toronto Raptors,26,27,53
Los Angeles Lakers,25,27,52
Los Angeles Clippers,27,22,49
Boston Celtics,26,22,48
Denver Nuggets,26,20,46
Indiana Pacers,25,20,45
Houston Rockets,24,20,44
Miami Heat,29,15,44
Oklahoma City Thunder,23,21,44
Utah Jazz,23,21,44
Dallas Mavericks,20,23,43
Philidelphia 76ers,31,12,43
Brooklyn Nets,20,15,35
Portland Trail Blazers,21,14,35
Memphis Grizzlies ,20,14,34
Phoenix Suns,17,17,34
Orlando Magic,18,15,33
San Antonio Spurs,19,13,32
Sacramento Kings,16,15,31
New Orleans Pelicans ,15,15,30
Washington Wizards ,16,9,25
Charlotte Hornets,10,13,23
Chicago Bulls,14,8,22
New York Knicks,11,10,21
Atlanta Hawks,14,6,20
Detroit Pistons,11,9,20
Cleveland Cavaliers,11,8,19
Minnesota Timberwolves,8,11,19
Golden State Warriors,8,7,15
